price,beds,bath,laundry,pets,housing_type,parking,hood_district
1300,0,1,(b) on-site,(d) no pets,(b) double,(d) no parking,2
750,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,10
1218,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
1250,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
1675,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
1691,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1660,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1690,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1290,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
1679,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1300,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,10
1749,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1600,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6
1400,0,1,(a) in-unit,(d) no pets,(c) multi,(c) off-street,10
1780,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,8
1995,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,9
1795,1,1,(b) on-site,(a) both,(b) double,(d) no parking,3
1650,0,1,(b) on-site,(d) no pets,(b) double,(d) no parking,2
1600,0,1,(c) no laundry,(d) no pets,(a) single,(d) no parking,10
2565,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
1700,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
1575,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
1775,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
1400,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,10
1395,0,1,(c) no laundry,(a) both,(c) multi,(d) no parking,8
2075,0,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,6
2075,0,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,6
1880,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
1880,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
2500,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
1400,0,1,(a) in-unit,(d) no pets,(c) multi,(c) off-street,10
1900,1,1,(b) on-site,(d) no pets,(b) double,(d) no parking,3
2050,0,1,(c) no laundry,(d) no pets,(c) multi,(b) protected,9
1995,0,1,(c) no laundry,(d) no pets,(c) multi,(b) protected,9
1675,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
1600,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
1995,0,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,6
2517,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,9
1950,0,1,(c) no laundry,(d) no pets,(c) multi,(b) protected,2
1850,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
1995,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
2100,0,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,6
1500,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
2445,2,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2100,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,5
1995,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
1995,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1595,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2000,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2195,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2195,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,5
1995,1,1,(c) no laundry,(c) cats,(c) multi,(b) protected,6
1595,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
1850,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,8
1850,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,8
1600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2786,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
1700,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
2225,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
2100,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2200,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1895,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2418,0,1,(a) in-unit,(d) no pets,(c) multi,(c) off-street,9
